ID,Name_x,RA,DEC,L,B,R_Sun,R_gc,X,Y,Z,v_r,v_r_e,v_LSR,sig_v,sig_v_e,c,r_c,r_h,mu_V,rho_0,lg_tc,lg_th,Name_y,FeH,Age,Age_err,Method,Figs,Range,HBtype,R_G,M_V,v_e0,log_sigma_0
NGC 6144,,16:27:13.86,-26:01:24.6,351.93,15.7,8.9,2.7,8.5,-1.2,2.4,193.8,0.6,201.9,,,1.55,0.94,1.63,20.05,2.31,8.78,9.14,XXXX,-1.82,12.75,0.5,H,30,,1.0,2.7,-6.85,10.4,2.975
NGC 6171,M 107,16:32:31.86,-13:03:13.6,3.37,23.01,6.4,3.3,5.9,0.3,2.5,-34.1,0.3,-23.0,4.1,0.3,1.53,0.56,1.73,18.94,3.08,8.06,9.0,M107,-1.03,12.0,0.75,V,13,,-0.73,3.3,-7.12,18.2,3.832
NGC 6205,M 13,16:41:41.24,+36:27:35.5,59.01,40.91,7.1,8.4,2.8,4.6,4.7,-244.2,0.2,-228.0,7.1,0.4,1.53,0.62,1.69,16.59,3.55,8.51,9.3,M13,-1.58,12.0,0.38,A,20-22,,0.97,8.4,-8.56,31.7,4.219
NGC 6218,M 12,16:47:14.18,-01:56:54.7,15.72,26.31,4.8,4.5,4.2,1.2,2.1,-41.4,0.2,-27.9,4.5,0.4,1.34,0.79,1.77,18.1,3.23,8.19,8.87,M12,-1.33,13.0,0.5,A,24-26,,0.98,4.5,-7.31,21.2,3.961
NGC 6254,M 10,16:57:09.05,-04:06:01.1,15.14,23.08,4.4,4.6,3.9,1.1,1.7,75.2,0.7,88.5,6.6,0.8,1.38,0.77,1.95,17.7,3.54,8.21,8.9,M10,-1.57,11.75,0.38,H,30,,0.98,4.6,-7.48,23.9,4.112
NGC 6304,,17:14:32.25,-29:27:43.3,355.83,5.38,5.9,2.3,5.8,-0.4,0.6,-107.3,3.6,-99.3,,,1.8,0.21,1.42,17.2,4.49,7.36,8.85,XXXX,-0.37,11.25,0.38,V,16,11.00–11.25,-1.0,2.3,-7.3,28.8,4.656
NGC 6341,M 92,17:17:07.39,+43:08:09.4,68.34,34.86,8.3,9.6,2.5,6.3,4.7,-120.0,0.1,-103.5,6.0,0.4,1.68,0.26,1.02,15.47,4.3,7.96,9.02,M92,-2.35,12.75,0.25,V,11,12.75–13.25,0.91,9.6,-8.21,35.8,4.618
NGC 6352,,17:25:29.11,-48:25:19.8,341.42,-7.17,5.6,3.3,5.3,-1.8,-0.7,-137.0,1.1,-134.1,,,1.1,0.83,2.05,18.17,3.17,8.46,8.92,XXXX,-0.62,10.75,0.38,V,16,10.50–11.00,-1.0,3.3,-6.47,14.6,3.592
NGC 6366,,17:27:44.24,-05:04:47.5,18.41,16.04,3.5,5.0,3.2,1.1,1.0,-122.2,0.5,-108.6,1.3,0.5,0.74,2.17,2.92,21.25,2.39,8.74,8.73,XXXX,-0.59,11.0,0.5,V,16,11.00,-0.97,5.0,-5.74,9.8,3.135
NGC 6362,,17:31:54.99,-67:02:54.0,325.55,-17.57,7.6,5.1,6.0,-4.1,-2.3,-13.1,0.6,-15.6,2.8,0.4,1.09,1.13,2.05,19.31,2.29,8.8,9.2,XXXX,-1.07,12.5,0.25,V,13,12.25–12.75,-0.58,5.1,-6.95,13.5,3.261
NGC 6397,,17:40:42.09,-53:40:27.6,338.17,-11.96,2.3,6.0,2.1,-0.8,-0.5,18.8,0.1,20.3,4.5,0.2,2.5,0.05,2.9,15.47,5.76,4.94,8.6,XXXX,-1.99,13.0,0.25,A,30,13.00,0.98,6.0,-6.64,35.9,5.759
NGC 6496,,17:59:03.68,-44:15:57.4,348.03,-10.01,11.3,4.2,10.9,-2.3,-2.0,-112.7,5.7,-108.4,,,0.7,0.95,1.02,20.17,1.99,8.94,9.04,XXXX,-0.46,10.75,0.38,V,16,10.50–10.75,-1.0,4.2,-7.2,16.7,3.459
NGC 6535,,18:03:50.51,-00:17:51.5,27.18,10.44,6.8,3.9,6.0,3.1,1.2,-215.1,0.5,-200.4,2.4,0.5,1.33,0.36,0.85,21.26,2.34,7.28,8.2,XXXX,-1.79,12.75,0.5,V,32,,1.0,3.9,-4.75,8.2,3.327
